A@01,A@21,A@22,A@23,A@24,A@41,A@42,A@43,A@44,A@45,A@46,A@47,A@61,A@62,A@63,B@01,B@02,B@03,B@04,B@05,B@06,B@07,B@08,B@09,B@21,B@22,B@23,B@24,B@25,B@26,B@27,B@28,B@29,B@30,B@31,B@32,B@33,B@41,B@42,B@43,B@44,B@60,B@61,B@62,B@63,B@64,B@65,B@66,B@67,B@68,B@81,B@82,C@01,C@02,C@03,C@04,C@05,C@06,C@07,C@08,C@09,C@10,C@11,C@12,C@13,C@14,C@21,C@22,C@23,C@25,C@30,C@40,D@01,D@02,D@03,D@04,D@05,D@06,D@07,D@10,D@21,E@01,E@02,E@03,E@04,E@05,E@06,E@21,F@01,F@02,F@03,F@04,F@05,F@15,F@16,F@17,F@21,F@22,F@23,F@24,F@25,F@26,F@27,F@28,F@41,F@42,G@01,G@02,G@03,G@04,G@05,G@06,G@07,G@08,G@09,G@10,G@11,G@16,G@21,H@01,H@02,H@03,H@04,H@05,Y@02,Y@04,Y@10
0.02268,0.001847,0.001492,0.01437,0.003057,0.00423,0.001271,0.002807,0.002305,0.00443,0.002484,0.02142,0.1843,0.003111,0.02852,0.06789,0.00178,0.002645,0.001522,0.009233,0.002162,0.001109,0.004447,0.002286,0.007731,0.009827,0.01746,0.008594,0.008632,0.005997,0.00257,0.003241,0.05323,0.003314,0.006763,0.02645,0.006388,0.02255,0.004526,0.00328,0.003023,0.06556,0.003553,0.01289,0.008052,0.01083,0.04152,0.003695,0.001649,0,0.005495,0.02283,0.02028,0.01203,0.009429,0.0137,0.003367,0.001141,0.07219,0.05263,0.03272,0.01894,0.009504,0.03498,0,0,0.005895,0.0118,0.0155,0.007086,0.004648,0.002874,0.005172,0,0.001827,0.00397,0.001735,0.00742,0.00145,0.002118,0.006393,0.004372,0.007111,0.003479,0.01594,0.01786,0.006758,0.01001,0.01946,0.0266,0.003238,0.01002,0.009476,0.005851,0.05929,0.006737,0.01221,0.002587,0.008789,0.01058,0.007942,0.002956,0.004568,0.007838,0.005175,0.003267,0.06516,0.06082,0.03386,0.001649,0.01696,0.1354,0.0122,0.01435,0.03557,0.01048,0.04019,0.01018,0.003894,0.1683,0.03842,0.02259,0.1683,0.05101,0.1256,0.005536,0.2311
0.01245,0,0,0.008101,0.001291,0.001934,0,0.001238,0.001063,0.001924,0.001372,0.009825,0.141,0.00167,0.01824,0.05068,0,0.001052,0,0.004745,0,0,0.002086,0,0.005447,0.005564,0.01285,0.004322,0.004127,0.003156,0.001116,0.001645,0.03301,0.001534,0.003327,0.01877,0.003017,0.01287,0.002084,0.001772,0.001228,0.03797,0.001607,0.006563,0.003996,0.005569,0.02777,0.001922,0,0,0.002891,0.0155,0.01185,0.005955,0.004901,0.007829,0.001571,0,0.05161,0.03979,0.02043,0.01112,0.00571,0.02753,0,0,0.002797,0.007127,0.009495,0.003801,0.00207,0.001462,0.002407,0,0,0.00202,0,0.003851,0,0,0.003172,0.001772,0.003229,0.001625,0.009346,0.0103,0.003342,0.005024,0.009953,0.01686,0.001745,0.004886,0.005123,0.003013,0.03675,0.003142,0.005984,0.00137,0.004669,0.005712,0.004507,0.001437,0.002131,0.003962,0.002155,0.001439,0.05073,0.04406,0.01898,0,0.01013,0.103,0.006828,0.006867,0.02043,0.005446,0.02867,0.005,0.001875,0.136,0.02337,0.01351,0.1294,0.03602,0.09355,0.002631,0.2153
0.0214,0.00128,0.001259,0.01115,0.002555,0.00329,0.001104,0.00243,0.00195,0.004206,0.002203,0.01858,0.1547,0.002773,0.02926,0.07786,0.001583,0.001892,0.00124,0.008215,0.001914,0,0.003493,0.001775,0.006726,0.009285,0.01397,0.007543,0.006987,0.005181,0.002272,0.002735,0.04485,0.002825,0.006097,0.02645,0.005221,0.02022,0.00378,0.002838,0.00251,0.06088,0.003151,0.01069,0.007923,0.01004,0.03786,0.003945,0.001432,0,0.005296,0.01939,0.02166,0.01072,0.007981,0.01451,0.002884,0,0.07501,0.05389,0.03105,0.01943,0.009601,0.03811,0,0,0.004589,0.01081,0.01716,0.005642,0.004028,0.00276,0.004527,0,0.001455,0.003327,0.001547,0.006576,0.001354,0.001796,0.006368,0.003257,0.005988,0.002833,0.01709,0.01714,0.005398,0.008948,0.01718,0.02874,0.00282,0.008992,0.009089,0.004769,0.05335,0.006437,0.01178,0.002448,0.008288,0.008729,0.007428,0.002379,0.00472,0.006123,0.004315,0.002805,0.06394,0.04875,0.03047,0.00155,0.01561,0.1097,0.01067,0.01111,0.02976,0.009177,0.03729,0.007943,0.003069,0.1348,0.03529,0.02101,0.114,0.04378,0.1259,0.004288,0.2411
0.03002,0.002839,0.002401,0.0181,0.004809,0.005983,0.002052,0.004314,0.003947,0.006587,0.003914,0.02567,0.181,0.005375,0.03749,0.09269,0.002988,0.003843,0.002849,0.0127,0.003512,0.002238,0.007131,0.003468,0.01231,0.01396,0.02255,0.0112,0.01157,0.009499,0.00365,0.006174,0.06337,0.00515,0.009861,0.0348,0.009471,0.03,0.007037,0.005664,0.005561,0.07385,0.005347,0.01395,0.01089,0.0152,0.04973,0.005713,0.003243,0.001737,0.008372,0.02768,0.03175,0.01502,0.01441,0.02397,0.00504,0.0019,0.0969,0.06507,0.04289,0.02768,0.0132,0.05684,0.001229,0.001601,0.009362,0.01581,0.02367,0.0102,0.006551,0.004993,0.007374,0.001362,0.003387,0.006303,0.002744,0.01182,0.002661,0.00374,0.009375,0.00562,0.009404,0.00544,0.02294,0.0253,0.01002,0.0129,0.02517,0.03805,0.005658,0.01152,0.01472,0.007908,0.07601,0.009307,0.0161,0.004182,0.01256,0.01383,0.01177,0.004749,0.007026,0.01216,0.006911,0.004789,0.08284,0.07237,0.04764,0.003124,0.02128,0.115,0.01598,0.0184,0.03965,0.0135,0.04958,0.0138,0.006091,0.1699,0.04196,0.027,0.141,0.06489,0.1423,0.007009,0.2799
0.07717,0.01166,0.01168,0.04848,0.01956,0.02173,0.01063,0.01563,0.01529,0.0228,0.01856,0.05723,0.2251,0.0182,0.06695,0.1823,0.01374,0.01717,0.01266,0.03767,0.01435,0.008897,0.02045,0.01415,0.03592,0.04175,0.05846,0.03398,0.02958,0.03107,0.01269,0.01993,0.1325,0.01951,0.02823,0.1055,0.02855,0.068,0.02081,0.02027,0.02346,0.1212,0.01882,0.04062,0.02864,0.04342,0.11,0.02395,0.01195,0.009655,0.03245,0.06979,0.07569,0.04903,0.03931,0.05438,0.02521,0.009402,0.1913,0.127,0.08826,0.06656,0.04118,0.1446,0.005998,0.009421,0.03167,0.05429,0.06819,0.03144,0.01915,0.02023,0.02342,0.009551,0.01113,0.02384,0.01519,0.04178,0.01219,0.01197,0.0281,0.01781,0.02645,0.01705,0.05671,0.05652,0.02534,0.03914,0.0574,0.07566,0.0204,0.0332,0.03934,0.0243,0.1225,0.0294,0.03837,0.01643,0.03648,0.04105,0.03955,0.02037,0.0237,0.03613,0.0247,0.01722,0.1541,0.1125,0.07094,0.01627,0.06862,0.1734,0.03547,0.04408,0.07905,0.03406,0.1044,0.03925,0.02216,0.2205,0.07478,0.07028,0.1904,0.1049,0.2176,0.03114,0.3329
0.03205,0.003178,0.003189,0.02115,0.005554,0.007679,0.002881,0.005777,0.004845,0.008248,0.005473,0.03106,0.1729,0.007175,0.03894,0.08985,0.00364,0.00482,0.003105,0.01514,0.005174,0.002293,0.008244,0.004459,0.01652,0.01395,0.02924,0.01371,0.01387,0.009729,0.004229,0.007769,0.07433,0.006765,0.012,0.04092,0.01135,0.03395,0.006745,0.007729,0.006045,0.07264,0.00657,0.01964,0.01294,0.0142,0.05235,0.007646,0.003285,0.002198,0.01319,0.03296,0.03244,0.0198,0.014,0.02524,0.006095,0.002435,0.08171,0.07136,0.05235,0.02997,0.01625,0.05229,0.001579,0.001998,0.01044,0.01975,0.02861,0.01446,0.007517,0.00666,0.008389,0.001991,0.004098,0.007335,0.003359,0.01356,0.003124,0.003798,0.01008,0.006885,0.01197,0.006259,0.02446,0.03145,0.01189,0.01747,0.02553,0.03881,0.007113,0.01508,0.01739,0.01102,0.08818,0.01231,0.02088,0.006185,0.01293,0.0176,0.01561,0.006222,0.008598,0.01514,0.008561,0.005921,0.09366,0.07609,0.04406,0.004395,0.02519,0.132,0.0211,0.01961,0.0454,0.01622,0.06625,0.01444,0.006807,0.2395,0.05374,0.03193,0.1446,0.06648,0.1357,0.008405,0.2729
0.0362,0.002941,0.003187,0.01937,0.00514,0.007394,0.002878,0.005487,0.004295,0.007976,0.004848,0.03499,0.09415,0.006135,0.04302,0.1024,0.004032,0.004838,0.003153,0.01215,0.004496,0.001926,0.008519,0.003245,0.01457,0.01128,0.02993,0.01221,0.01352,0.01039,0.004418,0.006332,0.08188,0.006505,0.01033,0.04208,0.01098,0.02887,0.006911,0.007045,0.005023,0.08016,0.006053,0.02156,0.01354,0.01377,0.05083,0.007708,0.003672,0.002622,0.01509,0.02749,0.03329,0.01682,0.01088,0.0243,0.00651,0.002491,0.05428,0.05489,0.04615,0.03022,0.0148,0.04122,0.001574,0.001754,0.008757,0.0198,0.0312,0.01211,0.006711,0.004832,0.008198,0.001766,0.004022,0.00712,0.00398,0.01352,0.00316,0.003485,0.0102,0.006518,0.01284,0.006481,0.02368,0.02511,0.009996,0.01673,0.0321,0.03776,0.008658,0.01536,0.01789,0.01202,0.08879,0.01575,0.0198,0.005723,0.01313,0.02056,0.01421,0.006707,0.008121,0.01483,0.00879,0.006062,0.08285,0.06871,0.04397,0.0034,0.02084,0.1249,0.01608,0.01965,0.04531,0.01366,0.06427,0.01429,0.007949,0.1976,0.05422,0.0336,0.1188,0.07825,0.1688,0.008741,0.2818
0.03697,0.005127,0.003994,0.02471,0.005834,0.009204,0.003852,0.007575,0.005288,0.009823,0.006638,0.03793,0.1632,0.007523,0.04253,0.09374,0.004225,0.006808,0.003822,0.01817,0.005763,0.0028,0.009827,0.005607,0.01695,0.01837,0.03143,0.01805,0.01596,0.01281,0.005392,0.008635,0.08048,0.008236,0.01601,0.04946,0.01525,0.03595,0.007733,0.008675,0.008891,0.07987,0.007396,0.02459,0.01565,0.02533,0.06454,0.01057,0.004182,0.002746,0.01599,0.04469,0.03564,0.02064,0.01711,0.02432,0.008695,0.003428,0.107,0.08281,0.04758,0.03359,0.01934,0.0558,0.00219,0.002775,0.01212,0.0244,0.02906,0.0188,0.008983,0.007062,0.01063,0.002087,0.005605,0.008635,0.004391,0.01805,0.003931,0.005255,0.01324,0.008955,0.01289,0.007438,0.02812,0.02836,0.01573,0.02134,0.0342,0.04064,0.00859,0.01823,0.02096,0.01294,0.08155,0.01588,0.02162,0.007006,0.0178,0.02032,0.01851,0.007902,0.01078,0.01582,0.0104,0.007173,0.1119,0.07878,0.05441,0.005594,0.02703,0.2054,0.02522,0.02659,0.05374,0.01941,0.07665,0.02205,0.008481,0.1964,0.06486,0.04294,0.2461,0.07976,0.1562,0.01158,0.2743
0.03688,0.00279,0.00183,0.01553,0.003883,0.004724,0.001679,0.003512,0.002859,0.005872,0.002816,0.02217,0.323,0.003468,0.03709,0.1173,0.002168,0.003517,0.002581,0.01113,0.002811,0.001967,0.004974,0.002951,0.01227,0.01427,0.02026,0.01248,0.009871,0.006749,0.003264,0.004529,0.0537,0.005313,0.008607,0.03495,0.008897,0.03136,0.005896,0.004418,0.004301,0.05777,0.004898,0.01383,0.009796,0.01375,0.05324,0.005579,0.002367,0.001508,0.005921,0.03599,0.03354,0.02088,0.01449,0.01698,0.004223,0.001826,0.2712,0.106,0.04184,0.03093,0.01549,0.1009,0.001158,0.001212,0.006581,0.01946,0.01803,0.01069,0.006637,0.004474,0.006113,0.001181,0.002351,0.004968,0.002561,0.01134,0.002559,0.003221,0.007695,0.004725,0.005915,0.003967,0.0231,0.02227,0.00866,0.0149,0.02314,0.03057,0.004215,0.01366,0.01315,0.007125,0.06527,0.007443,0.01447,0.00382,0.01099,0.01205,0.0123,0.003301,0.006106,0.01036,0.009031,0.005203,0.1003,0.05886,0.04267,0.003022,0.0283,0.1245,0.0155,0.01323,0.03682,0.01371,0.04805,0.01086,0.004697,0.1652,0.04316,0.0312,0.146,0.06702,0.1217,0.006435,0.2452
0.01291,0,0,0.00406,0,0,0,0,0,0.001103,0,0.007901,0.2391,0,0.01132,0.05499,0,0,0,0.002828,0,0,0,0,0.002249,0.004299,0.004375,0.00349,0.0025,0.001447,0,0,0.01865,0,0.002144,0.01463,0.001294,0.008349,0,0,0,0.02551,0,0.004281,0.002458,0.003951,0.02189,0.001154,0,0,0.001322,0.01486,0.009324,0.004536,0.002271,0.005116,0,0,0.1815,0.04569,0.01404,0.009085,0.003317,0.0422,0,0,0.001432,0.004077,0.004957,0.002117,0.001101,0,0.001172,0,0,0,0,0.002159,0,0,0.001631,0,0.001309,0,0.005806,0.00717,0.001808,0.004253,0.007552,0.01036,0,0.003072,0.002914,0.001336,0.02813,0.00189,0.004027,0,0.002122,0.003271,0.002961,0,0.001353,0.002048,0.001181,0,0.05723,0.02123,0.01596,0,0.00646,0.07434,0.00445,0.003947,0.02076,0.003106,0.01844,0.002702,0,0.07057,0.02295,0.01078,0.113,0.02702,0.06485,0.001622,0.1695
0.02267,0.001756,0.001697,0.01432,0.003294,0.004456,0.001383,0.002993,0.002731,0.003958,0.002797,0.02607,0.1191,0.003827,0.02596,0.07844,0.001758,0.003194,0.001489,0.01032,0.002728,0.001101,0.004722,0.002284,0.009209,0.009408,0.021,0.008321,0.009406,0.007093,0.003079,0.003927,0.06132,0.0036,0.007407,0.03012,0.007329,0.02444,0.004741,0.004079,0.003427,0.06289,0.003519,0.01358,0.008236,0.01003,0.04388,0.004431,0.002095,0.001151,0.00714,0.0233,0.02445,0.01183,0.009557,0.01534,0.003827,0.001437,0.05536,0.04678,0.03612,0.02135,0.01186,0.03515,0,0.001164,0.005948,0.01506,0.01884,0.007943,0.005066,0.002987,0.00501,0,0.002758,0.00434,0.001797,0.008691,0.001569,0.002255,0.006964,0.00411,0.006721,0.003827,0.01608,0.01857,0.006385,0.009951,0.01952,0.02449,0.003854,0.0115,0.01071,0.006887,0.06414,0.008068,0.01357,0.003388,0.008138,0.01151,0.008611,0.003462,0.004933,0.009163,0.004865,0.003417,0.06577,0.08467,0.03732,0.002221,0.01801,0.1102,0.01236,0.01398,0.04059,0.009821,0.04871,0.01111,0.004554,0.2287,0.03757,0.02438,0.1113,0.05606,0.1271,0.005305,0.2653
